fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2022-08-22,8293X,XÀTIVA,VALENCIA,88,"29,0","0,0","21,3",05:50,"36,6",15:30,06,"3,1","9,7",15:00,"10,5","1004,3",07,"1000,1",17
2022-08-23,8293X,XÀTIVA,VALENCIA,88,"30,2","0,0","23,2",06:00,"37,1",14:40,01,"2,8","7,5",15:40,"11,8","1004,9",09,"1000,3",17
2022-08-24,8293X,XÀTIVA,VALENCIA,88,"31,7","0,0","23,5",05:50,"39,9",14:10,35,"2,2","9,7",18:30,"10,9","1004,7",24,"1000,1",17
2022-08-25,8293X,XÀTIVA,VALENCIA,88,"30,0","0,0","22,7",23:40,"37,4",14:20,35,"4,2","15,8",18:10,"8,4","1005,2",Varias,"1000,3",17
2022-08-26,8293X,XÀTIVA,VALENCIA,88,"24,7","26,6","16,2",18:10,"33,2",12:40,29,"6,4","30,8",18:00,"6,3","1006,4",18,"1000,1",22
2022-08-27,8293X,XÀTIVA,VALENCIA,88,"26,4","0,0","18,5",05:40,"34,2",14:00,12,"1,7","9,2",15:20,"9,6","1002,9",00,"999,2",16
2022-08-28,8293X,XÀTIVA,VALENCIA,88,"28,2","0,0","22,5",05:40,"33,8",Varias,05,"2,2","7,5",14:10,"9,9","1005,4",24,"1001,6",17
2022-08-29,8293X,XÀTIVA,VALENCIA,88,"28,3","0,0","22,7",06:10,"33,9",16:30,01,"2,2","6,9",11:20,"6,5","1006,8",06,"1002,2",18
2022-08-30,8293X,XÀTIVA,VALENCIA,88,"30,6","5,6","23,1",05:00,"38,0",15:00,24,"3,3","14,2",18:10,"6,8","1007,7",24,"1002,8",16
2022-08-31,8293X,XÀTIVA,VALENCIA,88,"30,2","0,0","22,3",06:30,"38,2",15:00,25,"3,1","15,3",00:10,"10,1","1008,5",01,"1001,5",18
2022-09-01,8293X,XÀTIVA,VALENCIA,88,"28,5","0,0","23,2",04:00,"33,8",16:00,03,"1,9","6,7",13:10,"8,8","1005,2",00,"1000,7",17
2022-09-02,8293X,XÀTIVA,VALENCIA,88,"29,8","0,0","21,1",06:30,"38,4",15:50,25,"1,7","11,1",14:40,"9,7","1002,9",07,"997,3",18
2022-09-03,8293X,XÀTIVA,VALENCIA,88,"27,6","0,0","18,5",05:40,"36,8",14:30,12,"2,5","8,1",16:10,"9,8","1003,3",24,"998,6",18
2022-09-04,8293X,XÀTIVA,VALENCIA,88,"27,8","0,0","20,4",06:00,"35,2",14:00,08,"2,8","8,6",15:10,"10,2","1007,3",24,"1003,3",Varias
2022-09-05,8293X,XÀTIVA,VALENCIA,88,"29,6","0,0","23,6",03:20,"35,6",13:50,99,"1,9","7,5",14:40,"9,2","1008,3",09,"1004,6",Varias
2022-09-06,8293X,XÀTIVA,VALENCIA,88,"28,6","0,0","18,6",06:30,"38,6",15:20,22,"1,4","6,4",08:00,"10,4","1007,5",07,"1002,5",Varias
2022-09-07,8293X,XÀTIVA,VALENCIA,88,"28,5","0,0","18,7",05:00,"38,3",15:00,29,"1,7","10,8",16:20,"9,6","1004,8",00,"1000,0",16
2022-09-08,8293X,XÀTIVA,VALENCIA,88,"29,0","0,0","20,5",05:50,"37,4",14:20,04,"1,9","10,0",15:20,"10,2","1006,0",23,"1002,3",15
